Published Date,Account,Account Type,Campaign Name,Total Impressions,Total Engagements,Media Type,Engagement Rate,Day of the Week,Hour
2023-03-24 09:00:00,General,Facebook,Community Engagement ,16456,158,Photo,0.009601361205639281,Friday,9
2023-03-23 19:26:00,CSGO,Twitter,Community Engagement ,808,16,Photo,0.019801980198019802,Thursday,19
2023-03-23 19:13:00,General,YouTube,N/A ,6,0,Video,0.0,Thursday,19
2023-03-23 18:44:00,General,YouTube,Community Engagement ,162,9,Video,0.05555555555555555,Thursday,18
2023-03-23 18:15:00,CSGO,Twitter,Community Engagement ,1241,19,Photo,0.015310233682514102,Thursday,18
2023-03-23 17:07:00,CSGO,Twitter,Community Engagement ,2089,31,Photo,0.014839636189564385,Thursday,17
2023-03-23 16:30:00,General,Twitter,Community Engagement ,12442,50,Photo,0.0040186465198521135,Thursday,16
2023-03-23 15:19:00,General,Instagram,Evergreen ,22832,675,Video,0.02956377014716188,Thursday,15
2023-03-23 15:19:00,General,TikTok,Evergreen ,170,13,Video,0.07647058823529412,Thursday,15
2023-03-23 15:17:00,Valorant,YouTube,Evil Exhibited ,309,23,Video,0.0744336569579288,Thursday,15
2023-03-23 13:39:00,General,LinkedIn,Evil Exhibited ,3859,124,Link,0.03213267685928997,Thursday,13
2023-03-23 13:08:00,General,Instagram,Evil Exhibited ,6974,74,Video,0.01061084026383711,Thursday,13
2023-03-23 13:00:00,General,TikTok,Evil Exhibited ,156,7,Video,0.04487179487179487,Thursday,13
2023-03-23 12:06:00,General,Instagram,N/A ,4004,0,Video,0.0,Thursday,12
2023-03-23 12:00:00,General,Twitter,Community Engagement ,10704,227,Video,0.021207025411061287,Thursday,12
2023-03-23 12:00:00,General,Facebook,Community Engagement ,13317,653,Video,0.04903506795824886,Thursday,12
2023-03-23 11:18:00,General,Instagram,N/A ,4286,0,Video,0.0,Thursday,11
2023-03-23 11:00:00,General,Twitter,Community Engagement ,11726,81,Photo,0.006907726419921542,Thursday,11
2023-03-23 10:44:00,General,Instagram,N/A ,5117,0,Video,0.0,Thursday,10
2023-03-23 09:34:00,General,TikTok,Evergreen ,71,1,Video,0.014084507042253521,Thursday,9
2023-03-23 09:12:00,General,Instagram,Evergreen ,101,1,Video,0.009900990099009901,Thursday,9
2023-03-23 08:47:00,General,YouTube,Community Engagement ,1627,27,Video,0.016594960049170254,Thursday,8
2023-03-23 08:47:00,General,YouTube,N/A ,671,15,Video,0.022354694485842028,Thursday,8
